Year,1st Place Rider,CountryID 1st,1st Place Rider Country,1st Place Rider Team,2nd Place Rider,c2nd,CountryID 2nd,2nd Place Rider Country,2nd Place Rider Team,3rd Place Rider,c3rd,CountryID 3rd,3rd Place Rider Country,3rd Place Rider Team,# of Stages,Distance (km),Average Speed (km/h),Best Team
1903,Maurice Garin,1,France,(none),Lucien Pothier,1.2,1,France,(none),Fernand Augereau,1.4,1,France,(none),6,2428,25.679,
1904,Henri Cornet,1,France,Geboren Jardy,Jean-Baptiste Dortignacq,1.2,1,France,(none),Alois Catteau,1.4,1,France,(none),6,2428,25.265,
1905,Louis Trousselier,1,France,(none),Hyppolite Aucouturier,1.2,1,France,(none),Jean-Baptiste Dortignacq,1.4,1,France,(none),11,2994,27.107,
1906,RenâˆšÂ© Pottier,1,France,(none),Georges Passerieu,1.2,1,France,(none),Louis Trousselier,1.4,1,France,(none),13,4545,24.463,
1907,Lucien Mazan dit Petit-Breton,1,France,(none),Gustave Garrigou,1.2,1,France,(none),Emile Georget,1.4,1,France,(none),14,4488,28.47,
1908,Lucien Mazan dit Petit-Breton,1,France,(none),FranâˆšÃŸois Faber,2.2,2,Luxembourg,(none),Georges Passerieu,1.4,1,France,(none),14,4488,28.74,
1909,FranâˆšÃŸois FaberFrance,2,Luxembourg,Alcyon,Gustave Garrigou,1.2,1,France,Alcyon,Jean Alavoine,1.4,1,France,Alcyon,14,4497,28.658,
1910,Octave Lapize,1,France,Alcyon,FranâˆšÃŸois FaberFrance,2.2,2,Luxembourg,Alcyon,Gustave Garrigou,1.4,1,France,Alcyon,15,4734,29.099,
1911,Gustave Garrigou,1,France,Alcyon,Paul Duboc,1.2,1,France,La Francaise,Emile Georget,1.4,1,France,La Francaise,15,5343,27.322,
1912,Odile Defraye,3,Belgium,Alcyon,EugâˆšÂ®ne Christophe,1.2,1,France,Armor,Gustave Garrigou,1.4,1,France,Alcyon,15,5289,27.763,
1913,Philippe Thys,3,Belgium,Peugeot,Gustave Garrigou,1.2,1,France,Peugeot,Marcel Guysse,3.4,3,Belgium,Peugeot,15,5287,26.715,
1914,Philippe Thys,3,Belgium,Peugeot-Wolber,Henri Pelissier,1.2,1,France,Peugeot-Wolber,Jean Alavoine,1.4,1,France,Peugeot-Wolber,15,5380,26.835,
1919,Firmin Lambot,3,Belgium,(none),Jean Alavoine,1.2,1,France,(none),EugâˆšÂ®ne Christophe,1.4,1,France,(none),15,5560,24.056,
1920,Philippe Thys,3,Belgium,(none),Hector Heusghem,3.2,3,Belgium,(none),Firmin Lambot,3.4,3,Belgium,(none),15,5503,24.072,
